,TRN_open,TRN_high,TRN_low,TRN_close,TRN_volume
2023-08-31,25.0600,25.2600,24.9500,25.0700,288617
2023-08-30,25.2100,25.3550,24.9500,25.0100,220820
2023-08-29,24.9700,25.3100,24.7700,25.1600,239571
2023-08-28,24.9200,25.3100,24.9000,24.9300,183537
2023-08-25,25.1300,25.2400,24.6600,24.8600,155802
2023-08-24,24.9500,25.2600,24.9100,24.9500,254086
2023-08-23,24.8900,25.1700,24.7300,25.1100,203640
2023-08-22,24.9800,25.2100,24.6900,24.7100,183736
2023-08-21,25.1400,25.1700,24.7750,24.8900,244582
2023-08-18,25.1400,25.4700,25.0800,25.2200,281274
2023-08-17,25.2200,25.5600,25.2200,25.3300,195763
2023-08-16,25.4700,25.7600,25.2050,25.2200,205745
2023-08-15,25.8700,25.8700,25.4300,25.4800,188040
2023-08-14,26.1600,26.1800,25.6600,26.0100,256640
2023-08-11,26.2000,26.3000,25.9800,26.2300,250245
2023-08-10,26.0100,26.5000,26.0100,26.2500,280945
2023-08-09,26.1300,26.3000,25.8700,26.0300,244263
2023-08-08,25.7700,26.1800,25.5000,26.1500,245878
2023-08-07,25.6900,26.3100,25.6900,26.2600,203663
2023-08-04,26.2600,26.2600,25.6800,25.7100,291867
2023-08-03,26.7900,26.7900,26.0700,26.1600,325614
2023-08-02,25.6800,26.8900,25.6800,26.8700,502863
2023-08-01,24.0100,25.6000,23.8300,25.5800,686903
2023-07-31,26.0100,26.3100,26.0100,26.2200,430389
2023-07-28,25.9800,26.1300,25.7700,25.7900,337670
2023-07-27,25.9500,26.0800,25.6500,25.6900,333662
2023-07-26,25.8600,26.2300,25.8200,25.8500,232734
2023-07-25,25.7000,25.8600,25.5500,25.7400,222350
2023-07-24,25.3600,25.7800,25.2600,25.7000,185034
2023-07-21,26.0000,26.0000,25.4500,25.4900,266610
2023-07-20,26.0000,26.1000,25.7600,25.9300,215094
2023-07-19,25.7600,25.9500,25.5400,25.8800,296325
2023-07-18,25.4400,25.8400,25.2600,25.6200,319036
2023-07-17,25.5800,25.8600,25.4700,25.5000,350947
2023-07-14,25.6600,25.6600,25.1300,25.6200,215242
2023-07-13,25.5500,25.8700,25.3000,25.7300,218108
2023-07-12,26.1500,26.1850,25.6700,25.7200,330838
2023-07-11,25.8300,26.0179,25.6000,25.8200,297783
2023-07-10,25.3400,25.8100,25.3400,25.6900,389937
2023-07-07,25.1200,25.8000,25.1200,25.4900,272389
2023-07-06,25.1600,25.3200,24.6400,25.0700,353251
2023-07-05,25.5700,25.6525,25.3700,25.4300,456693
2023-07-03,25.5800,25.9600,25.5500,25.8000,295324
2023-06-30,25.7800,26.0300,25.5350,25.7100,386541
2023-06-29,24.6600,25.6850,24.6600,25.5700,512330
2023-06-28,24.0300,24.1250,23.7400,24.1000,278456
2023-06-27,23.6100,24.1500,23.5000,24.0000,334579
2023-06-26,23.5100,23.8700,23.4725,23.7200,294593
2023-06-23,23.2800,23.6850,22.9600,23.4900,1377712
2023-06-22,23.9500,23.9500,23.3900,23.6100,388339
2023-06-21,23.4900,23.9700,23.3689,23.9300,344633
2023-06-20,23.6600,23.8400,23.3600,23.6200,368683
2023-06-16,24.0800,24.0800,23.5200,23.8900,1532237
2023-06-15,23.4500,23.9000,23.3550,23.9000,434173
2023-06-14,23.6400,23.8080,23.3200,23.4800,381527
2023-06-13,23.2500,23.7700,23.1800,23.5000,383123
2023-06-12,22.8500,23.2100,22.4200,23.0500,427795
2023-06-09,23.0900,23.0900,22.6800,22.9600,334517
2023-06-08,23.4800,23.4900,22.9200,23.0900,429647
2023-06-07,22.5200,23.6350,21.8700,23.5700,707239
2023-06-06,21.7400,22.5000,21.7400,22.3000,1005502
2023-06-05,22.6700,22.6800,21.4800,21.9300,368300
2023-06-02,21.9600,22.8900,21.7850,22.7800,355696
2023-06-01,21.3100,21.5650,21.0600,21.4600,367343
2023-05-31,21.3300,21.4400,20.9200,21.1500,390262
2023-05-30,21.5500,21.6300,21.3100,21.5200,276657
2023-05-26,21.1400,21.5500,21.0500,21.5100,225064
2023-05-25,20.7700,21.1900,20.5800,21.1700,301027
2023-05-24,21.5200,21.5200,20.9100,21.0000,249545
2023-05-23,21.3400,21.8050,21.3400,21.5600,347306
2023-05-22,21.3900,21.5700,21.0000,21.4500,383263
2023-05-19,21.7800,21.7800,21.1400,21.4000,299863
2023-05-18,21.1800,21.3900,20.8501,21.3700,380362
2023-05-17,20.9500,21.3800,20.8700,21.2500,437306
2023-05-16,20.6200,20.7450,20.4200,20.6100,334407
2023-05-15,20.8600,21.0300,20.6800,20.8300,343361
2023-05-12,21.0700,21.1100,20.4481,20.7300,296746
2023-05-11,20.7500,20.9700,20.5850,20.9300,254377
2023-05-10,21.4400,21.4400,20.5550,20.9400,347004
2023-05-09,21.1100,21.2100,20.9100,21.0800,313589
2023-05-08,21.7700,21.7700,21.0150,21.3200,305083
2023-05-05,21.0700,21.6400,21.0700,21.5300,343022
2023-05-04,21.5500,21.6600,20.4000,20.7000,539164
2023-05-03,21.6800,21.9800,21.1300,21.7600,775253
2023-05-02,22.5400,23.1459,20.0710,21.6700,972622
2023-05-01,24.0600,24.6000,23.7800,23.8300,372783
2023-04-28,23.7300,24.2800,23.7300,23.9500,366814
2023-04-27,23.1900,23.8200,23.1000,23.7600,298912
2023-04-26,23.5800,23.7800,23.0600,23.2100,306494
2023-04-25,23.7200,23.9500,23.5750,23.8000,296011
2023-04-24,23.9700,24.2950,23.9200,24.0300,258120
2023-04-21,24.1000,24.1000,23.6400,23.9400,289795
2023-04-20,23.7800,24.0100,23.7000,23.9400,298597
2023-04-19,23.6800,24.0000,23.5850,23.9700,232112
2023-04-18,24.2900,24.4000,23.7200,23.8300,345173
2023-04-17,23.8100,24.2800,23.8100,24.1900,373461
2023-04-14,24.0700,24.3250,23.6800,23.7100,430547
2023-04-13,24.3400,24.4000,24.0100,24.0700,414749
2023-04-12,24.7900,24.7900,24.4200,24.5400,260190
2023-04-11,24.2500,24.7600,24.2500,24.4500,387070
2023-04-10,23.7800,24.4000,23.5800,24.1300,478271
2023-04-06,23.6800,23.7000,23.2400,23.3600,247302
2023-04-05,23.5800,23.8800,23.2900,23.5200,328481
2023-04-04,24.4600,24.4600,23.5200,23.7800,302178
2023-04-03,24.5400,24.7600,24.1200,24.3900,294100
2023-03-31,24.1300,24.3700,23.9900,24.3600,377913
2023-03-30,24.3100,24.5007,23.7500,23.9000,269741
2023-03-29,24.1500,24.2200,23.6600,23.9200,316243
2023-03-28,23.5100,23.9300,23.5100,23.7400,323806
2023-03-27,23.6100,23.9000,23.4600,23.5500,385190
2023-03-24,22.4900,23.2500,22.2600,23.2300,466907
2023-03-23,23.7100,23.9500,22.6700,22.8700,680711
2023-03-22,24.3800,24.6900,23.5500,23.5700,774774
2023-03-21,23.6300,23.9600,23.3800,23.8300,747932
2023-03-20,22.3800,23.3200,22.2900,23.0300,680846
2023-03-17,22.7000,22.7700,21.9950,22.0600,1504647
2023-03-16,22.2100,23.2900,21.8700,23.0100,623204
2023-03-15,22.5100,22.8600,21.9900,22.6100,1249206
2023-03-14,24.0100,24.0150,23.0000,23.3100,1504572
2023-03-13,24.6200,24.6200,23.2100,23.2200,834523
2023-03-10,25.6200,25.6350,24.8100,25.0100,593868
2023-03-09,26.4000,26.5800,25.7750,25.8100,310801
2023-03-08,25.9200,26.5100,25.7766,26.2900,432192
2023-03-07,26.9100,27.0100,25.8800,25.8800,534100
2023-03-06,27.9200,28.1300,27.0090,27.2000,497549
2023-03-03,28.1900,28.3900,27.0000,28.0600,989278
2023-03-02,27.6000,27.8600,27.1800,27.8500,378288
2023-03-01,27.8200,28.2000,27.7400,27.9200,449833
2023-02-28,27.4200,28.2150,27.3100,27.9100,680568
2023-02-27,27.2200,27.4800,27.1400,27.3700,387964
2023-02-24,26.4200,26.9100,26.1100,26.8200,504285
2023-02-23,25.8100,26.6200,25.8100,26.6100,499612
2023-02-22,25.9200,26.1700,25.2600,25.6500,784467
2023-02-21,27.3900,27.5999,24.4800,26.0800,1433926
2023-02-17,28.1300,28.5600,27.8000,28.3800,588513
2023-02-16,27.0600,28.1900,27.0200,27.7500,403433
2023-02-15,27.0800,27.6100,26.8650,27.4700,295121
2023-02-14,27.6300,27.9100,27.0700,27.3800,264330
2023-02-13,27.4100,27.8400,27.2850,27.8000,240864
2023-02-10,27.0800,27.3700,26.7900,27.3500,334671
2023-02-09,27.8100,27.8100,26.9100,27.1200,479694
2023-02-08,28.1000,28.3400,27.5650,27.6500,410585
2023-02-07,27.9200,28.5550,27.6900,28.3800,563105
2023-02-06,28.5900,28.7299,27.7200,28.1300,443054
2023-02-03,28.5200,28.8000,28.3500,28.7400,476342
2023-02-02,28.5700,28.6850,27.6400,28.6000,622392
2023-02-01,28.6100,28.9700,28.4000,28.4200,663056
2023-01-31,28.0400,28.7750,27.7500,28.7700,434634
2023-01-30,28.1300,28.2800,27.7200,27.7900,249433
2023-01-27,28.2500,28.4300,28.0500,28.3100,267227
2023-01-26,28.1800,28.4500,27.6200,28.2500,239654
2023-01-25,27.4200,28.1000,27.4000,27.9600,277714
2023-01-24,27.1300,27.9000,26.9750,27.6100,270852
2023-01-23,27.4900,27.6799,27.2500,27.3500,372797
2023-01-20,27.6000,27.6000,27.1500,27.3900,348159
2023-01-19,27.5900,27.5900,27.0200,27.2300,280996
2023-01-18,28.0000,28.5200,27.6700,27.7000,236256
2023-01-17,27.9900,28.2400,27.8100,27.8400,258037
2023-01-13,27.8700,28.2300,27.5900,28.1100,283279
2023-01-12,27.7200,28.0500,27.4600,28.0500,393667
2023-01-11,27.5500,27.7600,27.2400,27.7400,393474
2023-01-10,26.7000,27.3500,26.5900,27.3400,394769
2023-01-09,27.0600,27.7300,26.4700,26.6300,508002
2023-01-06,29.7000,29.7000,26.8100,26.8600,971367
2023-01-05,29.9100,29.9200,29.4500,29.5000,276957
2023-01-04,29.8800,30.3400,29.8300,29.9300,470474
2023-01-03,29.7300,29.9650,29.1800,29.7700,321033
2022-12-30,29.7200,29.7200,29.2100,29.5700,286682
2022-12-29,29.3000,29.9600,29.1600,29.8400,272702
2022-12-28,29.9900,30.1200,29.0600,29.0900,199098
2022-12-27,29.9200,30.1000,29.6700,29.8600,171703
2022-12-23,29.6600,30.1050,29.5000,29.9300,215622
2022-12-22,30.1200,30.2000,29.0100,29.7500,274939
2022-12-21,30.2900,30.8900,30.1600,30.5600,372969
2022-12-20,29.8200,30.5650,29.8200,29.9300,428990
2022-12-19,28.9500,30.0150,28.8300,29.8100,650627
2022-12-16,28.5400,28.8700,28.3700,28.8100,1307208
2022-12-15,29.8000,29.8000,28.9000,29.1400,441533
2022-12-14,30.7700,31.1500,30.2100,30.2800,364360
2022-12-13,31.2800,31.3500,30.3400,30.7400,602246
2022-12-12,29.8400,30.4320,29.5371,30.4000,644008
2022-12-09,29.6600,30.3400,29.6000,29.6900,642632
2022-12-08,29.6200,29.9450,29.3050,29.3800,338655
2022-12-07,29.4600,29.7700,29.3600,29.3800,344128
2022-12-06,30.3100,30.3800,29.4300,29.5700,394251
2022-12-05,31.2100,31.2100,30.3500,30.4800,302715
2022-12-02,30.8100,31.6800,30.7300,31.5800,307288
2022-12-01,31.0000,31.5300,30.9000,31.2700,401028
2022-11-30,29.8900,30.6750,29.5200,30.6300,397104
2022-11-29,30.0400,30.1400,29.7100,30.0000,296030
2022-11-28,30.2200,30.5000,29.7950,29.9600,226242
2022-11-25,30.5800,30.9600,30.5000,30.5200,150712
2022-11-23,30.5600,30.6900,30.2300,30.4900,242319
2022-11-22,30.2800,30.6100,30.0700,30.5900,325376
2022-11-21,29.4000,30.3100,29.2900,30.1600,253774
2022-11-18,30.3900,30.3900,29.3900,29.6000,260697
2022-11-17,29.4200,29.9300,29.3100,29.8600,335697
2022-11-16,29.7700,29.8400,29.3700,29.7800,423383
2022-11-15,30.4700,30.7500,29.3950,29.9000,1035023
2022-11-14,29.7100,30.8200,29.5700,30.2000,479067
2022-11-11,29.7300,30.2900,29.5900,29.8700,663596
2022-11-10,29.2700,29.7700,28.8700,29.6700,472794
2022-11-09,28.7500,29.0400,27.9900,28.1200,360508
2022-11-08,29.5100,29.9400,28.8850,29.2200,394054
2022-11-07,29.0200,29.6000,28.9900,29.4000,443705
2022-11-04,28.9000,29.7700,28.8100,29.7300,395335
2022-11-03,27.2800,28.7450,27.0300,28.4500,495310
2022-11-02,28.6000,29.1700,27.5300,27.6200,614965
2022-11-01,28.7900,29.1000,28.5000,28.8500,695465
2022-10-31,27.8500,28.8550,27.7600,28.5300,622520
2022-10-28,27.0900,28.1400,27.0000,28.1400,653340
2022-10-27,25.7300,27.1600,25.6741,26.9200,724106
2022-10-26,24.8200,25.4200,24.5300,25.1700,696273
2022-10-25,23.5900,24.9000,23.0600,24.5800,593910
2022-10-24,23.4200,23.6200,23.1300,23.4300,557388
2022-10-21,22.7500,23.4700,22.6900,23.3300,408015
2022-10-20,23.4500,23.5300,22.5300,22.6800,410654
2022-10-19,23.5400,23.8000,23.1900,23.4000,528739
2022-10-18,23.7400,24.1500,23.2100,23.7400,490561
2022-10-17,22.5100,23.1700,22.5100,23.1600,572736
2022-10-14,22.8900,23.0450,22.0350,22.0500,358989
2022-10-13,21.8200,23.0700,21.5000,22.8000,728332
2022-10-12,22.8400,22.9500,22.4700,22.5100,404663
2022-10-11,23.1000,23.3600,22.6300,22.9000,761220
2022-10-10,23.5400,23.6700,23.0900,23.3100,572699
2022-10-07,23.7500,23.7500,23.1800,23.4000,589132
2022-10-06,23.5700,23.9200,23.5200,23.8100,399363
2022-10-05,23.0600,23.8100,23.0147,23.6900,470839
2022-10-04,23.3000,23.6800,23.1700,23.4900,574705
2022-10-03,21.7700,23.0100,21.3400,22.8400,866195
2022-09-30,21.7500,22.0400,21.3200,21.3500,739846
2022-09-29,22.6100,22.6250,21.6000,21.8700,584744
2022-09-28,22.4500,23.1350,22.3200,22.9300,649679
2022-09-27,22.4900,23.0000,22.1000,22.2600,655502
2022-09-26,22.1000,22.7900,22.1000,22.2300,628564
2022-09-23,22.7800,22.8100,22.0000,22.2000,662428
2022-09-22,23.5800,23.5800,23.0900,23.1400,677018
2022-09-21,23.6600,24.2800,23.5500,23.5800,749861
2022-09-20,23.0900,23.3750,22.9100,23.3400,548954
2022-09-19,22.5500,23.4100,22.5500,23.3800,510063
2022-09-16,22.9800,22.9800,22.5400,22.9200,3549678
2022-09-15,23.7700,24.0150,23.2850,23.3800,591881
2022-09-14,24.0700,24.0700,23.3500,23.7400,539630
2022-09-13,24.1000,24.4100,23.9300,24.0100,723663
2022-09-12,24.5000,24.9750,24.4400,24.8900,803437
2022-09-09,24.1500,24.5600,24.1200,24.2600,835021
2022-09-08,23.9200,24.0583,23.5400,23.9700,471151
2022-09-07,23.5800,24.2300,23.5400,24.1400,599976
2022-09-06,23.6500,23.8100,23.1300,23.5700,713956
2022-09-02,24.5100,24.5100,23.3200,23.5000,842055
2022-09-01,24.1400,24.2800,23.7500,24.1500,625220
2022-08-31,25.0700,25.0700,24.3500,24.3800,568507
2022-08-30,25.4300,25.4300,24.9500,25.0300,538874
2022-08-29,25.5300,25.6300,25.1500,25.4300,463214
2022-08-26,27.1900,27.2200,25.7800,25.7900,442441
2022-08-25,26.6700,27.1900,26.6700,27.0400,720469
2022-08-24,26.3600,26.6300,26.1501,26.5600,464690
2022-08-23,26.2100,26.7100,26.2100,26.3600,367195
2022-08-22,26.5100,26.5100,26.1500,26.2600,291298
2022-08-19,27.1500,27.2000,26.7200,26.9200,419147
2022-08-18,27.2400,27.5200,27.1200,27.4200,319356
2022-08-17,27.6100,27.6650,27.1950,27.3400,402350
2022-08-16,27.8300,28.0700,27.7500,27.9700,593275
2022-08-15,27.8200,27.9500,27.6700,27.8900,398468
2022-08-12,27.4900,28.1000,27.3400,28.1000,465592
2022-08-11,27.3500,27.5500,27.1100,27.3200,495910
2022-08-10,26.9100,27.0500,26.7500,27.0000,487206
2022-08-09,26.5100,26.7000,25.7900,26.2500,879234
2022-08-08,26.3800,26.7400,25.9150,26.4000,624944
2022-08-05,25.1700,26.1700,25.0900,26.1700,494820
2022-08-04,25.9700,26.0000,25.1700,25.4300,497461
2022-08-03,25.6300,25.8750,25.1400,25.7900,794682
2022-08-02,25.6500,25.9300,25.3300,25.5600,570211
2022-08-01,25.6900,26.1389,25.3300,25.8900,586592
2022-07-29,25.6000,26.0900,25.4200,25.9500,760491
2022-07-28,25.2500,25.5400,24.9700,25.4800,772589
2022-07-27,24.2600,25.3300,24.0800,24.9300,1003119
2022-07-26,24.1200,24.5200,23.9200,24.0400,392723
2022-07-25,23.9500,24.3800,23.6845,24.3600,461281
2022-07-22,24.4200,24.4200,23.5300,23.7800,584465
2022-07-21,24.1900,24.3000,23.6400,24.2300,583306
2022-07-20,23.9300,24.4100,23.7600,24.3900,624420
2022-07-19,22.8400,24.0000,22.8400,23.9500,648978
2022-07-18,22.5600,22.8500,22.3300,22.4300,482137
2022-07-15,22.0700,22.2800,21.6169,22.2200,453290
2022-07-14,21.0900,21.6400,20.9400,21.6400,533063
2022-07-13,21.7600,21.9850,21.4200,21.8100,495403
2022-07-12,21.9900,22.4000,21.8700,22.0800,546149
2022-07-11,22.1400,22.3150,21.9200,22.0500,574216
2022-07-08,22.7100,22.9500,22.2200,22.4000,436016
2022-07-07,22.5500,22.9200,22.5300,22.7900,562645
2022-07-06,23.0500,23.2900,21.9400,22.2000,707802
2022-07-05,23.9000,24.0550,22.7100,23.1500,1136752
2022-07-01,24.2500,24.6200,23.8100,24.4100,630538
2022-06-30,23.7100,24.2900,23.6300,24.2200,603856
2022-06-29,24.4700,24.4700,23.6900,24.0600,748377
2022-06-28,25.3000,25.4710,24.3500,24.4000,767978
2022-06-27,24.7400,25.2800,24.5800,25.0000,745640
2022-06-24,24.0500,24.9500,24.0500,24.5100,1853772
2022-06-23,23.7800,24.2500,23.4100,23.8400,691408
2022-06-22,23.4900,24.1600,23.4900,23.8700,649124
2022-06-21,23.3100,24.0700,22.7900,23.9200,1119175
2022-06-17,22.5200,23.0200,22.2100,22.9700,13520455
2022-06-16,23.4700,23.5100,22.2150,22.3900,1150577
2022-06-15,24.0000,24.2000,23.5700,23.9400,785000
2022-06-14,23.8800,24.0500,23.4700,23.7300,711259
2022-06-13,24.0400,24.2000,23.5000,23.8700,939654
2022-06-10,25.0400,25.2500,24.4700,24.5600,612409
2022-06-09,26.3300,26.3300,25.5400,25.5500,635504
2022-06-08,26.5600,26.7000,26.0850,26.3300,614103
2022-06-07,26.4600,26.8700,26.2700,26.8700,652246
2022-06-06,26.1800,26.9950,26.0000,26.7800,1474147
2022-06-03,25.0900,25.4600,25.0100,25.4600,693465
2022-06-02,24.6900,25.3800,24.4800,25.3600,796895
2022-06-01,24.9800,25.0250,24.1800,24.4900,507430
2022-05-31,24.7600,24.9700,24.5100,24.8600,542274
2022-05-27,24.3700,25.0090,24.3700,24.9900,437096
2022-05-26,24.0500,24.4100,24.0500,24.2700,387638
2022-05-25,23.9000,24.1550,23.4500,23.8700,514711
2022-05-24,24.2200,24.2200,23.3100,23.7700,677310
2022-05-23,24.4300,24.4900,24.1850,24.3700,618935
2022-05-20,24.4400,24.4400,23.6300,23.9500,655071
2022-05-19,24.5600,25.0200,24.0820,24.3700,794125
2022-05-18,25.4400,25.7700,24.7600,24.8800,647610
2022-05-17,24.9100,25.5350,24.9000,25.4300,495981
2022-05-16,24.6200,24.8700,24.3500,24.6400,502104
2022-05-13,24.2600,24.6900,24.0400,24.5800,757097
2022-05-12,24.0400,24.2300,23.3900,24.0800,1161148
2022-05-11,25.2500,25.5250,24.0750,24.1200,883135
2022-05-10,25.8000,25.9600,24.7800,25.0800,662355
2022-05-09,26.4500,26.6100,25.5000,25.6300,840682
2022-05-06,27.5200,27.7000,26.7100,26.8700,542244
2022-05-05,28.3200,28.4500,27.4500,27.6300,594469
2022-05-04,27.9600,28.6000,27.5800,28.5100,736210
2022-05-03,27.3100,28.0600,27.0500,27.8800,622166
2022-05-02,27.7100,27.8600,26.8300,27.2500,876252
2022-04-29,28.3500,28.6800,27.6400,27.7400,1031518
2022-04-28,28.3000,29.1000,28.0000,28.5000,1608804
2022-04-27,29.6400,29.6400,27.4900,28.1500,3116792
2022-04-26,30.8400,31.2000,30.5600,30.6400,718783
2022-04-25,30.7000,31.2100,30.1200,31.2000,952835
2022-04-22,31.5400,31.9500,30.6800,31.0300,998948
2022-04-21,32.6200,32.7300,31.6400,31.8500,874894
2022-04-20,32.5000,32.8000,32.2000,32.2400,556582
2022-04-19,32.1100,32.3500,31.9950,32.2900,683199
2022-04-18,31.7200,32.1900,31.6910,31.8000,638830
2022-04-14,31.7700,32.1100,31.5900,31.7400,454411
2022-04-13,31.5300,31.7500,31.3000,31.6900,622871
2022-04-12,31.5400,31.8150,31.1950,31.5800,840343
2022-04-11,31.3000,31.6750,31.2100,31.3100,637020
2022-04-08,31.4900,31.5850,30.7600,31.2800,828302
2022-04-07,31.8700,32.0800,31.3900,31.7800,612742
2022-04-06,32.0000,32.4300,31.6805,31.9000,907331
2022-04-05,33.6000,33.8900,32.1300,32.2700,901197
2022-04-04,34.0200,34.1100,33.3500,33.7200,745519
2022-04-01,34.5600,34.8550,33.5300,34.0300,862093
2022-03-31,34.5300,35.1750,34.2800,34.3600,781695
2022-03-30,34.8000,35.0800,34.3800,34.7100,407754
2022-03-29,34.9000,34.9750,34.4300,34.7800,455456
2022-03-28,35.1000,35.2100,34.4200,34.8200,720064
2022-03-25,34.7500,35.3500,34.5300,35.3200,580054
2022-03-24,34.2300,34.8200,34.0100,34.7400,477661
2022-03-23,34.1700,34.4150,33.9600,34.0900,409158
2022-03-22,34.5000,34.8800,34.1500,34.3500,594116
2022-03-21,34.4700,34.9190,33.9600,34.3400,666285
2022-03-18,33.4600,34.3600,33.2600,34.3100,1612701
2022-03-17,32.5800,33.4000,32.5800,33.3600,1000354
2022-03-16,32.4400,32.7900,32.0600,32.7400,781656
2022-03-15,32.2900,32.5500,31.9300,32.4600,790283
2022-03-14,32.9400,33.0500,31.7800,32.2100,769821
2022-03-11,32.2500,32.9200,32.1500,32.6300,736994
2022-03-10,31.3700,32.2000,31.2200,32.0900,916679
2022-03-09,31.8400,32.0100,31.4000,31.7000,751690
2022-03-08,31.0000,32.8400,30.8550,31.4700,1333596
2022-03-07,30.3700,31.4400,30.2065,30.8200,1503927
2022-03-04,29.3000,30.5050,29.3000,30.3900,874661
2022-03-03,29.8000,30.1200,29.3200,29.7400,631007
2022-03-02,28.6200,29.7800,28.6000,29.5500,1287409
2022-03-01,28.7800,28.9100,27.3201,28.2200,1640161
2022-02-28,28.4200,29.0300,28.3800,28.8600,1036310
2022-02-25,28.3600,29.0900,28.3600,28.8500,816935
2022-02-24,28.1100,28.6050,27.8700,28.3900,866615
2022-02-23,29.8200,29.9300,28.6600,28.6600,1060537
2022-02-22,29.5500,30.0800,29.3100,29.5600,722047
2022-02-18,29.2300,29.8000,28.8800,29.4500,806788
2022-02-17,30.0200,30.6300,28.9200,29.5100,1301886
2022-02-16,30.4600,31.3500,30.4400,31.2700,579725
2022-02-15,30.3400,30.7800,30.2500,30.5000,427940
2022-02-14,30.2100,30.4400,29.8800,30.1100,498121
2022-02-11,29.7600,30.3000,29.6100,30.0900,744024
2022-02-10,29.6400,30.2200,29.5200,29.8600,659144
2022-02-09,30.0000,30.4000,29.8900,30.1100,456253
2022-02-08,29.5000,30.0200,29.4102,29.9400,394269
2022-02-07,28.8800,29.4150,28.8450,29.2100,417129
2022-02-04,28.8300,29.2400,28.6700,28.9400,425245
2022-02-03,29.1400,29.5800,28.9600,29.1200,1148463
2022-02-02,29.2400,29.3800,28.6400,29.2400,519897
2022-02-01,28.8700,29.4700,28.4200,29.3900,598319
2022-01-31,28.2500,28.7400,27.8600,28.7300,1473393
2022-01-28,28.0600,28.5800,27.2600,28.5700,738626
2022-01-27,29.0900,29.4100,27.9850,28.1200,1084889
2022-01-26,28.7900,29.5400,28.3171,28.7700,803106
2022-01-25,27.9500,28.8400,27.2000,28.5100,1077063
2022-01-24,26.9400,28.4800,26.7400,28.3100,995608
2022-01-21,28.3800,28.5000,27.5600,27.5700,1142046
2022-01-20,29.6000,29.8500,28.4650,28.4900,789141
2022-01-19,30.3100,30.5100,29.5900,29.6400,814625
2022-01-18,30.7100,30.9600,30.2400,30.2700,803271
2022-01-14,30.4300,30.8550,30.2000,30.8500,702912
2022-01-13,30.4600,31.1002,30.1700,30.6400,795467
2022-01-12,30.7900,31.1500,30.5800,30.5900,679488
2022-01-11,30.9500,31.0100,30.2600,30.8700,687559
2022-01-10,31.0700,31.2000,30.4850,30.7200,851381
2022-01-07,31.2300,31.5300,30.9100,31.1700,721655
2022-01-06,31.3500,31.4800,30.8700,31.1900,1019469
2022-01-05,31.4800,31.7200,30.9200,30.9600,1083078
2022-01-04,30.6600,31.6300,30.6000,31.3400,890345
2022-01-03,30.3600,31.1000,30.2300,30.4400,956427
2021-12-31,29.5000,30.4950,29.0700,30.2000,927073
2021-12-30,29.6200,29.8600,29.4600,29.5200,406966
2021-12-29,29.3400,29.7200,29.1650,29.5600,271415
2021-12-28,29.3900,29.7500,29.3300,29.4300,327520
2021-12-27,29.4400,29.6400,29.2750,29.5500,343395
2021-12-23,29.5800,29.7700,29.3900,29.4900,336302
