,GIL_open,GIL_high,GIL_low,GIL_close,GIL_volume
2023-07-28,31.0000,31.2500,30.9200,31.0800,362104
2023-07-27,31.0800,31.3250,30.5700,30.8400,483790
2023-07-26,31.0300,31.3200,30.5450,30.8500,615299
2023-07-25,31.5200,31.5400,30.9800,31.2200,658931
2023-07-24,31.4000,31.8100,31.4000,31.4900,403379
2023-07-21,31.7800,31.8300,31.4600,31.5100,273900
2023-07-20,32.0700,32.1900,31.5900,31.7100,345831
2023-07-19,31.7500,32.2100,31.6100,32.1800,384311
2023-07-18,31.3100,31.9700,31.2100,31.8600,580917
2023-07-17,31.0000,31.6900,30.9800,31.4000,814385
2023-07-14,31.8500,31.9200,31.1500,31.1800,1762961
2023-07-13,32.6500,32.7900,31.9000,31.9300,691128
2023-07-12,32.9700,33.0400,32.3850,32.4600,514338
2023-07-11,32.2900,32.8400,32.1100,32.5800,331385
2023-07-10,32.0000,32.4250,31.8900,32.0800,393185
2023-07-07,31.8000,32.3300,31.8000,31.9900,238284
2023-07-06,32.1400,32.3500,31.4800,31.9500,368155
2023-07-05,32.3000,32.9700,32.2750,32.5600,664884
2023-07-03,32.3500,32.8400,32.2000,32.6300,238227
2023-06-30,31.9400,32.4000,31.9000,32.2400,269398
2023-06-29,31.8600,32.2500,31.7300,31.8400,524018
2023-06-28,31.2000,31.7500,31.0600,31.7000,422878
2023-06-27,30.7100,31.5300,30.6200,31.4200,470015
2023-06-26,30.3700,31.2500,30.3700,30.6500,695022
2023-06-23,29.9600,30.4200,29.8000,30.3000,736390
2023-06-22,30.3700,30.5700,30.0000,30.3200,412892
2023-06-21,30.7700,30.8600,30.2700,30.4600,439206
2023-06-20,30.7300,31.2300,30.4200,30.9600,503097
2023-06-16,30.5700,30.9100,30.3600,30.8500,705750
2023-06-15,30.0100,30.4500,29.9500,30.3500,345404
2023-06-14,30.1300,30.3100,29.7800,30.1400,498634
2023-06-13,29.9500,30.0400,29.6650,29.9100,1391759
2023-06-12,29.6300,29.9200,29.3700,29.7900,454794
2023-06-09,29.8600,29.8700,29.5550,29.6000,495269
2023-06-08,30.2500,30.3750,28.7400,29.7100,1155605
2023-06-07,29.5700,30.3300,29.4100,30.2200,319573
2023-06-06,29.2900,29.8700,29.1600,29.7400,619168
2023-06-05,28.9300,29.3450,28.8900,29.2300,515610
2023-06-02,28.2000,29.1500,28.2000,29.1200,902339
2023-06-01,27.2800,27.7200,26.9800,27.6700,705295
2023-05-31,27.7000,27.8200,27.1800,27.2700,882956
2023-05-30,28.5200,28.6800,27.6900,27.8500,555865
2023-05-26,27.7800,28.4900,27.7800,28.3500,448109
2023-05-25,28.1600,28.3800,27.7600,27.7900,489865
2023-05-24,28.6800,28.6800,27.6850,28.1600,731389
2023-05-23,29.2000,29.2000,28.4600,28.6300,1037626
2023-05-22,29.2900,29.6200,29.1800,29.5500,402177
2023-05-19,29.3100,29.4900,29.0900,29.2900,769933
2023-05-18,29.6100,29.6100,29.0900,29.4500,566157
2023-05-17,29.4100,29.6750,29.2600,29.5600,889235
2023-05-16,30.4700,30.4700,29.2600,29.3500,679961
2023-05-15,30.7300,30.9100,30.4800,30.5700,660489
2023-05-12,30.1900,30.7550,30.1900,30.6900,649125
2023-05-11,30.1700,30.6300,29.6800,30.2100,537268
2023-05-10,30.7000,30.7000,29.8400,30.2400,653307
2023-05-09,29.7800,30.4500,29.5300,30.2200,618570
2023-05-08,29.5800,30.1400,29.4400,30.0500,583429
2023-05-05,29.8100,30.0500,29.0100,29.5000,676900
2023-05-04,30.7100,30.7100,28.7350,29.2400,1663572
2023-05-03,32.2200,32.4700,31.3200,31.4500,980488
2023-05-02,32.4200,32.5100,31.7900,32.3000,407970
2023-05-01,32.4000,33.0000,32.3700,32.4000,369421
2023-04-28,31.8500,32.6100,31.8400,32.5800,307131
2023-04-27,31.7400,32.0800,31.6200,32.0100,344893
2023-04-26,31.8400,32.1600,31.5900,31.6700,465366
2023-04-25,32.1900,32.4050,31.5400,31.5600,364788
2023-04-24,32.4800,32.8100,32.3700,32.5500,313676
2023-04-21,32.4700,32.5300,31.8500,32.5000,411102
2023-04-20,32.0000,32.5800,32.0000,32.2600,329846
2023-04-19,32.2000,32.5200,32.1450,32.2300,290170
2023-04-18,31.8400,32.6200,31.8400,32.3500,556759
2023-04-17,31.9800,32.0500,31.5200,31.7500,452767
2023-04-14,32.2800,32.6500,31.9000,32.0000,288888
2023-04-13,32.1500,32.3900,31.9300,32.1300,277714
2023-04-12,32.4400,32.5700,31.9250,31.9500,285779
2023-04-11,32.0100,32.3450,31.9900,32.0900,385099
2023-04-10,31.2600,32.0550,31.2300,31.9000,446432
2023-04-06,31.8100,31.9300,31.4050,31.4500,455469
2023-04-05,33.4600,33.5100,31.8800,31.9200,493462
2023-04-04,33.9400,34.3250,33.6200,33.7300,463874
2023-04-03,33.1900,33.8300,33.1900,33.7900,510763
2023-03-31,32.7300,33.2500,32.7000,33.1900,277194
2023-03-30,32.5700,33.0500,32.5700,32.6800,289611
2023-03-29,32.4500,32.4800,32.0350,32.2200,308975
2023-03-28,32.0600,32.2400,31.8000,32.1200,384533
2023-03-27,32.0100,32.2500,31.7050,31.9600,337225
2023-03-24,31.6100,31.9700,31.3400,31.8200,305438
2023-03-23,32.0400,32.4700,31.5300,31.8200,328735
2023-03-22,32.3200,32.6000,31.7600,31.7600,475725
2023-03-21,31.9500,32.6300,31.8800,32.2400,608073
2023-03-20,31.6100,31.9100,31.3300,31.4500,445810
2023-03-17,31.4200,31.7400,31.1800,31.4200,668702
2023-03-16,30.5000,32.1000,30.4100,31.7600,552269
2023-03-15,30.1600,30.9300,30.1600,30.8500,639267
2023-03-14,30.9100,31.2400,30.6400,31.0300,640144
2023-03-13,30.3700,30.7300,30.0300,30.2700,1175831
2023-03-10,31.6000,31.6700,30.8500,31.1100,957508
2023-03-09,32.2300,32.6000,31.5750,31.6100,629466
2023-03-08,32.4600,32.7900,32.1850,32.2900,491658
2023-03-07,32.8900,33.2800,32.4150,32.4700,1050549
2023-03-06,33.7400,33.9300,32.8400,32.8800,723399
2023-03-03,32.9600,33.7150,32.8000,33.6600,780661
2023-03-02,31.9000,32.8550,31.9000,32.8200,903989
2023-03-01,31.8500,32.4650,31.8500,32.0500,837551
2023-02-28,31.1800,31.8200,31.0000,31.7500,998696
2023-02-27,31.4100,31.7300,30.9700,31.3200,1002069
2023-02-24,31.7200,31.7200,30.6501,31.3300,1076583
2023-02-23,30.5000,32.1800,30.2400,32.1400,1230525
2023-02-22,28.0000,31.3600,28.0000,30.2100,1048616
2023-02-21,29.4700,29.5200,28.6000,28.6600,1073495
2023-02-17,29.4400,29.8400,29.4000,29.8000,393201
2023-02-16,29.3800,30.1300,29.3800,29.8100,409072
2023-02-15,29.3500,29.7800,29.3500,29.7400,230012
2023-02-14,29.1400,29.6550,29.0100,29.5800,278892
2023-02-13,29.0600,29.4100,28.9100,29.4100,245675
2023-02-10,28.7800,29.1100,28.5400,28.9500,372745
2023-02-09,30.0300,30.1800,28.7400,28.9000,804734
2023-02-08,29.6000,29.8400,29.3250,29.5600,491168
2023-02-07,29.5800,29.9000,29.0500,29.8400,626764
2023-02-06,30.8700,30.8800,29.6400,29.6800,902223
2023-02-03,30.1400,31.3800,29.9200,31.1500,572299
2023-02-02,31.7100,31.7100,30.3000,30.5700,1238883
2023-02-01,31.2900,31.6500,30.8900,31.6200,511459
2023-01-31,30.7800,31.3700,30.7800,31.3300,324656
2023-01-30,30.1000,30.7750,30.1000,30.6800,364832
2023-01-27,30.2500,30.5258,30.1300,30.3500,352055
2023-01-26,30.7300,30.9800,30.2000,30.4700,468011
2023-01-25,30.1500,30.4900,29.8900,30.4200,571020
2023-01-24,30.4700,30.7000,29.9400,30.4300,294185
2023-01-23,30.2800,30.5000,29.1200,30.4500,953201
2023-01-20,30.9200,31.0300,30.6400,30.9500,226555
2023-01-19,30.6000,30.9700,30.4200,30.8000,334380
2023-01-18,31.3400,31.5050,30.7800,30.8200,255592
2023-01-17,31.0300,31.2700,30.8500,31.1200,210712
2023-01-13,30.9400,31.2900,30.7300,31.0500,292964
2023-01-12,30.6000,31.1500,30.3700,31.0800,561967
2023-01-11,29.3100,30.4200,29.3100,30.3600,654967
2023-01-10,29.3700,29.5300,28.6000,29.1500,499693
2023-01-09,29.1100,29.5700,28.9100,29.3800,594937
2023-01-06,28.6400,29.0550,28.3400,29.0300,526150
2023-01-05,27.9400,28.4250,27.6975,28.3600,305634
2023-01-04,27.8900,28.1400,27.5100,28.1100,586436
2023-01-03,27.7600,27.8050,27.2600,27.5500,406889
2022-12-30,27.0000,27.4600,26.8200,27.4000,703547
2022-12-29,26.7700,27.2576,26.6300,27.2100,480885
2022-12-28,26.9800,27.0900,26.3000,26.5100,416027
2022-12-27,27.1600,27.1600,26.8600,26.9900,293608
2022-12-23,26.9300,27.0900,26.6600,27.0600,409423
2022-12-22,26.7300,27.0500,26.5900,27.0500,524709
2022-12-21,27.1300,27.3400,27.0300,27.1100,549534
2022-12-20,26.8900,27.3050,26.6400,26.8100,1024623
2022-12-19,27.4000,27.5000,26.6300,26.8700,792695
2022-12-16,27.3200,27.6500,27.2450,27.4000,921967
2022-12-15,27.8000,28.1400,27.3850,27.6000,890055
2022-12-14,28.6600,28.8050,28.0900,28.2900,562818
2022-12-13,29.4200,29.6100,28.3400,28.5600,430147
2022-12-12,28.9700,28.9700,28.4600,28.6400,369689
2022-12-09,28.6100,29.1000,28.5000,28.9100,361042
2022-12-08,28.9300,29.1200,28.7000,28.9500,232366
2022-12-07,28.5000,28.9000,28.2100,28.8600,647972
2022-12-06,29.1300,29.3300,28.4650,28.6300,560865
2022-12-05,29.4500,29.5250,28.8600,29.0500,535016
2022-12-02,28.9500,29.7000,28.7830,29.5300,457157
2022-12-01,29.0800,29.6500,28.8300,29.3900,380992
2022-11-30,28.2500,28.9100,27.8700,28.8900,364118
2022-11-29,28.3600,28.4900,27.9600,28.0900,367892
2022-11-28,28.9500,29.1200,28.3800,28.3800,484607
2022-11-25,28.9600,29.2000,28.7300,29.1100,131307
2022-11-23,28.5000,28.9700,28.4400,28.8500,334635
2022-11-22,28.1800,28.7400,27.9800,28.7200,492755
2022-11-21,28.4300,28.7600,27.9600,28.2200,633482
2022-11-18,28.3600,28.7050,27.7450,28.6800,435425
2022-11-17,27.5400,27.9400,27.3000,27.8500,574626
2022-11-16,28.4600,28.7500,27.9400,28.0500,373531
2022-11-15,29.1100,29.4600,28.4300,28.7500,513440
2022-11-14,28.7500,29.0400,28.4500,28.6200,447853
2022-11-11,28.0500,29.3800,28.0500,29.0500,556131
2022-11-10,27.9700,28.7600,27.8800,27.9900,805456
2022-11-09,27.7000,27.7000,26.7900,26.8100,466376
2022-11-08,28.6200,28.7700,27.7100,27.8500,474333
2022-11-07,29.2200,29.2880,28.0250,28.4300,415474
2022-11-04,29.0100,29.4400,28.3900,29.0400,601776
2022-11-03,29.1300,29.3000,27.8600,28.4700,1168018
2022-11-02,31.1900,31.4400,29.2600,29.3100,1304712
2022-11-01,32.0600,32.2650,31.5050,31.5700,868503
2022-10-31,31.9100,32.0800,31.4600,31.5500,413943
2022-10-28,31.6100,32.2650,31.6100,32.2500,469210
2022-10-27,32.0300,32.2500,31.5900,31.6500,558229
2022-10-26,31.7500,32.1200,31.6600,31.8100,520068
2022-10-25,31.1800,32.0300,31.1800,31.8100,591796
2022-10-24,30.9000,31.1200,30.6800,31.0400,601682
2022-10-21,30.0300,31.2150,30.0300,31.1100,489071
2022-10-20,31.3000,31.4000,30.0300,30.1400,649919
2022-10-19,31.1800,31.3700,30.8400,31.0700,585819
2022-10-18,31.7800,31.9600,31.0800,31.4000,530109
2022-10-17,30.5600,31.2900,30.5600,31.1700,554755
2022-10-14,30.4400,30.5700,29.7100,29.9100,489687
2022-10-13,28.7000,30.3400,28.3400,30.1900,418485
2022-10-12,28.7500,29.4450,28.4900,29.4000,498728
2022-10-11,29.1400,29.5200,28.6150,28.7800,589323
2022-10-10,29.4500,29.4600,28.8600,29.1400,498072
2022-10-07,29.5800,29.8300,28.9300,29.2200,449030
2022-10-06,30.0800,30.4600,29.9700,30.1700,473534
2022-10-05,30.0300,30.5600,29.8800,30.3900,457994
2022-10-04,29.6000,30.5800,29.5600,30.5400,556787
2022-10-03,28.6600,29.2250,28.3200,28.9400,561984
2022-09-30,28.0300,28.9300,27.7000,28.2700,739276
2022-09-29,29.0600,29.2800,28.5200,28.7600,588973
2022-09-28,28.4600,29.6300,28.2700,29.4700,609775
2022-09-27,28.4200,28.4900,27.8700,28.3500,763292
2022-09-26,28.3900,29.0400,27.9400,28.1100,671662
2022-09-23,28.9000,28.9020,28.1600,28.6100,701286
2022-09-22,30.2700,30.2700,29.2200,29.3500,590004
2022-09-21,31.2700,31.3600,30.2100,30.2200,729954
2022-09-20,31.4500,31.5500,30.8900,31.0900,354145
2022-09-19,30.9300,31.9250,30.9300,31.8100,431794
2022-09-16,31.4400,31.5000,30.9400,31.1900,504256
2022-09-15,32.5200,32.9200,31.8700,31.9100,451152
2022-09-14,32.5600,32.7900,32.1100,32.5200,532596
2022-09-13,32.4100,33.0100,32.2250,32.4600,853852
2022-09-12,31.9500,33.5100,31.9500,33.4000,710132
2022-09-09,31.3100,31.9300,31.3100,31.8700,409674
2022-09-08,30.2000,31.0100,29.9600,30.9800,341374
2022-09-07,29.7700,30.6400,29.7000,30.5500,482133
2022-09-06,30.0300,30.2550,29.6800,29.8300,399379
2022-09-02,30.2200,30.5200,29.7900,29.9600,441361
2022-09-01,29.2800,29.9900,29.1900,29.8600,527038
2022-08-31,29.9800,30.2300,29.3500,29.5800,545627
2022-08-30,30.4100,30.4400,29.7400,29.9400,463621
2022-08-29,29.9300,30.4400,29.7900,30.1500,472263
2022-08-26,31.5200,31.7400,30.2100,30.2600,445472
2022-08-25,31.0400,31.7500,31.0400,31.5200,477488
2022-08-24,30.6200,31.1400,30.4500,31.0000,423070
2022-08-23,31.2200,31.3800,30.7500,30.8700,795385
2022-08-22,31.6300,31.7600,31.0700,31.1700,562833
2022-08-19,32.8300,32.8300,32.2300,32.2500,484805
2022-08-18,32.6700,33.2600,32.4500,33.0200,565032
2022-08-17,32.7100,32.9550,32.5100,32.7600,475598
2022-08-16,31.9800,33.3300,31.9200,33.2800,651331
2022-08-15,31.7200,32.2600,31.5300,32.1000,444029
2022-08-12,31.7000,32.1000,31.5600,32.0800,260189
2022-08-11,31.8400,32.2800,31.4600,31.5400,487463
2022-08-10,31.2300,31.7300,31.1400,31.5400,378378
2022-08-09,31.3600,31.3600,30.4900,30.5800,456248
2022-08-08,31.2700,31.6950,31.1800,31.4300,621564
2022-08-05,30.8500,31.3000,30.7200,31.0700,1104739
2022-08-04,30.4800,32.0150,30.2800,30.9700,1280317
2022-08-03,29.3200,29.6100,28.9200,29.4900,873800
2022-08-02,29.1000,29.2300,28.7800,28.8800,697591
2022-08-01,29.2700,29.9850,29.1650,29.3800,701960
2022-07-29,28.7300,29.3900,28.6300,29.3200,541653
2022-07-28,27.9500,28.7500,27.8500,28.6700,454036
2022-07-27,27.2200,27.9400,27.1400,27.8900,550890
2022-07-26,28.0700,28.0900,26.9700,26.9800,707031
2022-07-25,28.8600,29.0300,28.4000,28.5700,304546
2022-07-22,29.0300,29.1600,28.4900,28.7600,465223
2022-07-21,29.0800,29.0800,28.6100,29.0300,362114
2022-07-20,28.5300,29.2300,28.3300,29.1300,647938
2022-07-19,27.4300,28.5650,27.4300,28.4700,543953
2022-07-18,27.3200,27.5800,26.9700,27.1200,577262
2022-07-15,26.4700,26.9600,26.2800,26.9100,804897
2022-07-14,26.1100,26.4000,25.6700,26.3600,1208099
2022-07-13,26.4700,26.6900,26.1700,26.5900,1520269
2022-07-12,27.0000,27.0600,26.2900,26.7600,2396842
2022-07-11,27.7900,27.8500,27.0600,27.1700,944251
2022-07-08,28.0600,28.2700,27.6300,28.0900,608315
2022-07-07,27.5200,28.0600,27.5200,28.0600,1606198
2022-07-06,27.4700,27.6400,26.9000,27.3200,1182640
2022-07-05,27.9900,28.0600,27.2900,27.6000,1125682
2022-07-01,28.5500,28.9600,28.2000,28.8900,341610
2022-06-30,28.2800,28.9300,27.6800,28.7800,1130741
2022-06-29,28.9700,28.9700,28.2600,28.6700,843622
2022-06-28,28.9600,29.4200,28.8200,28.9100,1190989
2022-06-27,28.8300,29.2700,28.6300,28.9100,444795
2022-06-24,27.9100,28.8800,27.9100,28.6500,553551
2022-06-23,27.4800,27.8600,27.2050,27.8500,704643
2022-06-22,27.6300,27.8300,27.2600,27.3100,651690
2022-06-21,28.2300,28.4600,27.8800,28.0700,401503
2022-06-17,27.4100,27.6000,26.9300,27.5300,699864
2022-06-16,27.9100,28.1100,26.8600,27.2800,879102
2022-06-15,28.4300,28.9200,28.3400,28.6200,727867
2022-06-14,28.0900,28.3800,27.9400,28.1800,453016
2022-06-13,28.4200,28.7900,27.6700,28.0100,782186
2022-06-10,30.1200,30.4400,29.1850,29.2400,1050865
2022-06-09,31.2500,31.5000,30.7000,30.7200,393004
2022-06-08,31.5800,32.1800,31.4800,31.6000,484893
2022-06-07,31.1800,31.8600,30.9900,31.8600,385758
2022-06-06,31.5500,31.8900,31.1700,31.4300,488924
2022-06-03,31.7800,31.9200,31.2400,31.3700,639115
2022-06-02,31.2200,32.1100,31.2200,32.1100,489111
2022-06-01,32.0000,32.1800,31.1600,31.2700,641295
2022-05-31,30.8200,31.9300,30.6000,31.4800,1429080
2022-05-27,30.4600,31.0400,30.4600,30.8800,443384
2022-05-26,29.8600,30.6700,29.8300,30.2800,547937
2022-05-25,29.0400,30.0300,28.8600,29.5400,746118
2022-05-24,30.3700,30.4200,29.5400,29.6600,1533012
2022-05-23,30.7300,31.1500,30.4900,30.6900,766844
2022-05-20,31.1400,31.2400,30.4500,30.6300,1637430
2022-05-19,29.9700,30.9700,29.7800,30.6200,1365666
2022-05-18,30.8000,30.9300,29.9000,30.1700,777129
2022-05-17,31.9800,32.5200,31.3800,31.5800,914144
2022-05-16,30.7300,31.5800,30.6200,31.2200,1347724
2022-05-13,30.1100,31.6400,30.1100,30.9900,851337
2022-05-12,29.1700,30.1700,29.1700,29.6700,1193263
2022-05-11,30.3000,30.9300,29.3500,29.4100,704164
2022-05-10,30.2900,30.9100,30.0500,30.1500,756263
2022-05-09,30.4100,31.1500,29.7100,29.8800,1202351
2022-05-06,31.2100,31.3300,30.1700,30.9200,857435
2022-05-05,35.4500,35.4900,31.3200,31.5200,1790134
2022-05-04,35.1400,35.7900,34.3100,35.6600,825411
2022-05-03,34.0400,35.0700,34.0400,34.9900,591633
2022-05-02,33.7400,34.1900,33.2800,33.9700,561516
2022-04-29,34.5200,34.7800,33.8300,33.8800,378658
2022-04-28,34.6100,34.8800,33.9300,34.5900,499371
2022-04-27,34.1100,34.5700,34.0500,34.2500,472621
2022-04-26,35.3000,35.3600,34.0300,34.0800,348178
2022-04-25,35.0100,35.7100,34.6950,35.6900,391157
2022-04-22,35.7600,36.2900,35.1600,35.3800,526299
2022-04-21,37.6600,37.6800,35.9450,36.1200,411082
2022-04-20,36.6700,37.7400,36.6700,37.1600,518505
2022-04-19,35.6600,36.6800,35.6100,36.5300,503306
2022-04-18,35.5300,35.9600,35.5000,35.7200,335090
2022-04-14,35.5400,35.9100,35.3500,35.6600,319583
2022-04-13,34.9200,35.7000,34.8300,35.4900,322585
2022-04-12,34.9800,35.6200,34.7100,34.9700,464550
2022-04-11,35.1500,35.8100,34.5800,34.6800,749646
2022-04-08,36.1800,36.1800,35.4000,35.4800,626586
2022-04-07,35.9300,36.4000,35.5600,36.0800,512842
2022-04-06,36.5900,36.7200,35.7800,36.1400,597551
2022-04-05,37.9100,38.3250,36.7700,36.7900,720347
2022-04-04,36.6400,38.3800,36.6400,37.9500,587525
2022-04-01,37.5400,37.7300,36.5350,36.7100,998744
2022-03-31,38.7200,38.9400,37.4000,37.4800,752165
2022-03-30,39.6100,39.9000,38.8600,38.8700,528670
2022-03-29,39.1900,39.9100,39.1900,39.8900,511820
2022-03-28,38.3500,38.8500,37.7400,38.7500,482011
2022-03-25,37.6400,38.6300,37.6400,38.4400,538830
2022-03-24,37.6600,37.6600,36.7500,37.5600,543834
2022-03-23,38.0700,38.2400,37.4700,37.4800,290808
2022-03-22,38.8700,38.8900,38.1600,38.3100,461051
2022-03-21,38.8300,38.8300,38.1800,38.5000,457001
2022-03-18,37.5700,38.7500,37.2600,38.6900,470979
2022-03-17,37.2600,37.6900,37.1200,37.6800,512616
2022-03-16,36.5200,37.5700,36.3800,37.2800,636569
2022-03-15,36.8000,37.2800,35.9350,36.1400,746824
2022-03-14,37.3900,38.0300,36.5700,36.7000,547534
2022-03-11,37.6600,37.9900,37.2981,37.3700,746378
2022-03-10,36.4600,37.6200,36.1300,37.3400,821100
2022-03-09,36.4100,36.9900,36.1600,36.9200,570399
2022-03-08,35.7000,36.0200,34.6300,35.3200,1058909
2022-03-07,36.5200,36.9300,35.5200,35.5700,964829
2022-03-04,37.2000,37.5500,36.3700,36.5300,739042
2022-03-03,39.5700,39.8600,37.8000,37.8600,836806
2022-03-02,38.5000,39.7700,38.4200,39.5900,984405
2022-03-01,39.4200,39.5900,37.9100,38.0900,1375019
2022-02-28,38.4100,39.4100,38.3210,39.3100,831191
2022-02-25,39.2800,39.2900,38.1200,39.0800,727541
2022-02-24,39.1300,39.1300,37.1200,39.0400,1248611
2022-02-23,40.2900,41.1000,39.6400,39.8400,2456711
2022-02-22,37.6900,38.9000,37.6900,38.3900,600729
2022-02-18,38.9100,39.0000,37.7000,37.9600,438590
2022-02-17,39.6500,40.1000,38.8900,38.9300,572113
2022-02-16,39.3700,39.9900,39.2600,39.8400,633304
2022-02-15,39.2500,39.5300,39.1100,39.4700,283491
2022-02-14,39.0000,39.1000,38.3390,38.7200,521786
2022-02-11,40.7500,40.7500,38.8800,38.9100,356370
2022-02-10,41.2700,41.9100,40.8400,40.9600,304294
2022-02-09,41.1200,41.8700,41.1200,41.8500,339414
2022-02-08,40.4700,40.9500,39.8300,40.8300,378585
2022-02-07,40.6200,40.6200,39.7100,40.2600,260923
2022-02-04,40.1100,40.6300,39.9600,40.5000,248966
2022-02-03,40.8200,41.0800,40.0500,40.3600,517546
2022-02-02,40.6800,41.1800,40.6700,41.0600,702480
2022-02-01,39.8500,40.5800,39.6800,40.4500,617362
2022-01-31,38.6200,39.8900,38.5800,39.8300,491778
2022-01-28,38.8100,38.9200,38.1400,38.9100,574245
2022-01-27,39.1800,39.7329,38.5260,38.8100,725936
2022-01-26,39.3000,40.1300,38.5000,38.7800,1008786
2022-01-25,38.5200,39.1700,37.8600,38.6700,665740
2022-01-24,38.2200,39.0700,37.4500,38.9900,1145553
2022-01-21,39.2500,39.5500,38.8100,38.9600,560635
2022-01-20,40.4500,40.7600,39.3400,39.4000,637231
2022-01-19,41.6300,42.0200,40.3900,40.4100,737789
2022-01-18,40.8300,41.9550,40.6200,41.5000,877220
2022-01-14,41.3600,41.9100,40.4100,40.7200,740209
2022-01-13,41.3300,42.0200,41.2900,41.7200,343766
2022-01-12,41.0200,41.7100,40.7900,41.0000,503660
2022-01-11,41.6800,41.6800,40.0500,40.7400,822878
2022-01-10,41.0300,41.6000,40.5200,41.5900,506780
2022-01-07,41.1200,41.9000,41.1200,41.6000,470711
2022-01-06,41.3900,41.8500,40.8400,41.3900,442607
2022-01-05,42.7700,42.8800,41.2200,41.2400,475325
2022-01-04,42.9600,43.4200,42.7400,42.7800,458312
2022-01-03,42.5400,43.1400,42.4200,42.5700,332640
2021-12-31,42.0500,42.6100,42.0500,42.3900,344156
2021-12-30,42.4300,42.6800,42.1000,42.1500,319894
2021-12-29,41.9400,42.5647,41.8500,42.3300,374268
2021-12-28,41.5200,42.2450,41.5200,41.7600,302724
2021-12-27,41.0700,41.8100,41.0700,41.5600,336184
2021-12-23,40.4400,40.9900,40.3700,40.7600,433345
2021-12-22,40.0300,40.5300,39.9300,40.3400,515228
2021-12-21,39.6400,40.2100,39.4400,40.0000,553434
2021-12-20,39.5300,39.7300,38.4800,39.0000,614010
2021-12-17,39.9400,41.0400,39.8900,40.2100,783242
2021-12-16,41.2800,41.4750,40.1650,40.1900,525895
2021-12-15,40.0500,41.1100,40.0300,41.0000,452780
2021-12-14,39.9000,40.9100,39.9000,40.2000,388397
2021-12-13,40.8400,41.1300,39.9600,40.3100,292759
2021-12-10,41.4500,41.5150,40.5100,40.9300,412629
